season,max_week,correct,possible,elim_week
1997,0,13.0,17,9.0
1997,1,13.0,17,9.0
1997,2,13.0,17,9.0
1997,3,13.0,17,9.0
1997,4,13.0,17,9.0
1997,5,9.0,17,2.0
1997,6,13.0,17,9.0
1997,7,13.0,17,9.0
1997,8,12.0,17,9.0
1997,9,12.0,17,9.0
1997,10,12.0,17,9.0
1997,11,10.0,17,2.0
1997,12,10.0,17,2.0
1997,13,8.0,17,2.0
1997,14,8.0,17,2.0
1997,15,8.0,17,2.0
1997,16,10.0,17,2.0
1998,0,15.0,17,16.0
1998,1,13.0,17,5.0
1998,2,15.0,17,16.0
1998,3,14.0,17,8.0
1998,4,14.0,17,8.0
1998,5,14.0,17,8.0
1998,6,14.0,17,9.0
1998,7,13.0,17,8.0
1998,8,15.0,17,16.0
1998,9,15.0,17,16.0
1998,10,13.0,17,9.0
1998,11,12.0,17,9.0
1998,12,13.0,17,8.0
1998,13,14.0,17,8.0
1998,14,14.0,17,8.0
1998,15,14.0,17,8.0
1998,16,14.0,17,8.0
1999,0,13.0,17,8.0
1999,1,13.0,17,8.0
1999,2,13.0,17,8.0
1999,3,12.0,17,8.0
1999,4,13.0,17,8.0
1999,5,13.0,17,8.0
1999,6,13.0,17,8.0
1999,7,13.0,17,8.0
1999,8,13.0,17,5.0
1999,9,13.0,17,5.0
1999,10,13.0,17,5.0
1999,11,12.0,17,5.0
1999,12,12.0,17,5.0
1999,13,12.0,17,5.0
1999,14,12.0,17,6.0
1999,15,12.0,17,6.0
1999,16,12.0,17,6.0
2000,0,13.0,17,10.0
2000,1,13.0,17,10.0
2000,2,14.0,17,14.0
2000,3,14.0,17,14.0
2000,4,13.0,17,10.0
2000,5,15.0,17,10.0
2000,6,15.0,17,10.0
2000,7,12.0,17,6.0
2000,8,14.0,17,6.0
2000,9,14.0,17,6.0
2000,10,14.0,17,6.0
2000,11,14.0,17,6.0
2000,12,14.0,17,6.0
2000,13,14.0,17,6.0
2000,14,14.0,17,6.0
2000,15,12.0,17,6.0
2000,16,12.0,17,6.0
2001,0,9.0,17,4.0
2001,1,8.0,17,4.0
2001,2,9.0,17,4.0
2001,3,9.0,17,4.0
2001,4,9.0,17,4.0
2001,5,9.0,17,4.0
2001,6,11.0,17,4.0
2001,7,11.0,17,4.0
2001,8,10.0,17,4.0
2001,9,10.0,17,4.0
2001,10,10.0,17,4.0
2001,11,10.0,17,4.0
2001,12,11.0,17,4.0
2001,13,10.0,17,4.0
2001,14,10.0,17,4.0
2001,15,10.0,17,4.0
2001,16,10.0,17,4.0
2002,0,13.0,17,8.0
2002,1,13.0,17,8.0
2002,2,11.0,17,8.0
2002,3,12.0,17,8.0
2002,4,12.0,17,8.0
2002,5,12.0,17,8.0
2002,6,12.0,17,6.0
2002,7,13.0,17,6.0
2002,8,13.0,17,6.0
2002,9,12.0,17,6.0
2002,10,12.0,17,6.0
2002,11,12.0,17,6.0
2002,12,12.0,17,6.0
2002,13,12.0,17,6.0
2002,14,12.0,17,6.0
2002,15,12.0,17,6.0
2002,16,12.0,17,6.0
2003,0,14.0,17,9.0
2003,1,12.0,17,9.0
2003,2,12.0,17,9.0
2003,3,12.0,17,9.0
2003,4,13.0,17,7.0
2003,5,14.0,17,7.0
2003,6,14.0,17,7.0
2003,7,11.0,17,3.0
2003,8,12.0,17,3.0
2003,9,12.0,17,3.0
2003,10,12.0,17,3.0
2003,11,12.0,17,3.0
2003,12,12.0,17,3.0
2003,13,12.0,17,3.0
2003,14,12.0,17,3.0
2003,15,12.0,17,3.0
2003,16,12.0,17,3.0
2004,0,12.0,17,6.0
2004,1,12.0,17,6.0
2004,2,13.0,17,6.0
2004,3,13.0,17,6.0
2004,4,13.0,17,9.0
2004,5,12.0,17,6.0
2004,6,12.0,17,6.0
2004,7,11.0,17,6.0
2004,8,10.0,17,6.0
2004,9,10.0,17,6.0
2004,10,9.0,17,6.0
2004,11,9.0,17,6.0
2004,12,9.0,17,6.0
2004,13,10.0,17,7.0
2004,14,10.0,17,7.0
2004,15,10.0,17,6.0
2004,16,10.0,17,6.0
2005,0,15.0,17,16.0
2005,1,15.0,17,16.0
2005,2,15.0,17,15.0
2005,3,14.0,17,11.0
2005,4,15.0,17,15.0
2005,5,16.0,17,
2005,6,16.0,17,
2005,7,16.0,17,
2005,8,14.0,17,16.0
2005,9,15.0,17,16.0
2005,10,13.0,17,11.0
2005,11,12.0,17,10.0
2005,12,15.0,17,16.0
2005,13,15.0,17,16.0
2005,14,15.0,17,16.0
2005,15,15.0,17,16.0
2005,16,15.0,17,16.0
2006,0,13.0,17,11.0
2006,1,13.0,17,11.0
2006,2,14.0,17,11.0
2006,3,14.0,17,11.0
2006,4,14.0,17,11.0
2006,5,13.0,17,11.0
2006,6,13.0,17,11.0
2006,7,13.0,17,11.0
2006,8,13.0,17,11.0
2006,9,14.0,17,16.0
2006,10,14.0,17,11.0
2006,11,14.0,17,11.0
2006,12,13.0,17,13.0
2006,13,11.0,17,10.0
2006,14,11.0,17,10.0
2006,15,11.0,17,10.0
2006,16,11.0,17,10.0
2007,0,14.0,17,10.0
2007,1,14.0,17,10.0
2007,2,15.0,17,12.0
2007,3,16.0,17,
2007,4,15.0,17,15.0
2007,5,16.0,17,
2007,6,15.0,17,15.0
2007,7,16.0,17,
2007,8,15.0,17,12.0
2007,9,15.0,17,12.0
2007,10,15.0,17,12.0
2007,11,14.0,17,12.0
2007,12,15.0,17,12.0
2007,13,15.0,17,12.0
2007,14,14.0,17,6.0
2007,15,14.0,17,6.0
2007,16,14.0,17,6.0
2008,0,13.0,17,5.0
2008,1,15.0,17,13.0
2008,2,13.0,17,6.0
2008,3,12.0,17,6.0
2008,4,15.0,17,13.0
2008,5,15.0,17,13.0
2008,6,15.0,17,13.0
2008,7,13.0,17,5.0
2008,8,13.0,17,5.0
2008,9,12.0,17,3.0
2008,10,14.0,17,6.0
2008,11,14.0,17,6.0
2008,12,14.0,17,12.0
2008,13,13.0,17,3.0
2008,14,13.0,17,3.0
2008,15,12.0,17,3.0
2008,16,12.0,17,3.0
2009,0,16.0,17,
2009,1,16.0,17,
2009,2,16.0,17,
2009,3,16.0,17,
2009,4,16.0,17,
2009,5,15.0,17,17.0
2009,6,15.0,17,17.0
2009,7,15.0,17,17.0
2009,8,15.0,17,17.0
2009,9,15.0,17,17.0
2009,10,15.0,17,17.0
2009,11,15.0,17,17.0
2009,12,15.0,17,17.0
2009,13,15.0,17,17.0
2009,14,15.0,17,17.0
2009,15,15.0,17,17.0
2009,16,15.0,17,17.0
2010,0,13.0,17,7.0
2010,1,13.0,17,7.0
2010,2,14.0,17,8.0
2010,3,13.0,17,8.0
2010,4,13.0,17,8.0
2010,5,13.0,17,8.0
2010,6,15.0,17,16.0
2010,7,14.0,17,11.0
2010,8,14.0,17,16.0
2010,9,14.0,17,16.0
2010,10,14.0,17,16.0
2010,11,14.0,17,16.0
2010,12,14.0,17,16.0
2010,13,14.0,17,16.0
2010,14,14.0,17,16.0
2010,15,14.0,17,16.0
2010,16,14.0,17,15.0
2011,0,14.0,17,10.0
2011,1,14.0,17,10.0
2011,2,15.0,17,10.0
2011,3,15.0,17,10.0
2011,4,14.0,17,10.0
2011,5,14.0,17,10.0
2011,6,11.0,17,9.0
2011,7,13.0,17,9.0
2011,8,13.0,17,9.0
2011,9,13.0,17,9.0
2011,10,13.0,17,9.0
2011,11,13.0,17,9.0
2011,12,12.0,17,9.0
2011,13,12.0,17,9.0
2011,14,12.0,17,9.0
2011,15,12.0,17,9.0
2011,16,12.0,17,9.0
2012,0,14.0,17,2.0
2012,1,15.0,17,2.0
2012,2,15.0,17,2.0
2012,3,15.0,17,2.0
2012,4,15.0,17,2.0
2012,5,15.0,17,2.0
2012,6,16.0,17,
2012,7,16.0,17,
2012,8,15.0,17,10.0
2012,9,14.0,17,10.0
2012,10,16.0,17,
2012,11,16.0,17,
2012,12,16.0,17,
2012,13,16.0,17,
2012,14,16.0,17,
2012,15,16.0,17,
2012,16,16.0,17,
2013,0,14.0,17,10.0
2013,1,14.0,17,10.0
2013,2,14.0,17,10.0
2013,3,14.0,17,10.0
2013,4,14.0,17,10.0
2013,5,13.0,17,10.0
2013,6,13.0,17,10.0
2013,7,13.0,17,10.0
2013,8,13.0,17,10.0
2013,9,13.0,17,10.0
2013,10,13.0,17,10.0
2013,11,13.0,17,10.0
2013,12,13.0,17,10.0
2013,13,14.0,17,12.0
2013,14,14.0,17,12.0
2013,15,12.0,17,4.0
2013,16,12.0,17,4.0
2014,0,15.0,17,11.0
2014,1,15.0,17,11.0
2014,2,15.0,17,11.0
2014,3,14.0,17,10.0
2014,4,13.0,17,10.0
2014,5,14.0,17,10.0
2014,6,14.0,17,10.0
2014,7,13.0,17,8.0
2014,8,13.0,17,8.0
2014,9,13.0,17,8.0
2014,10,13.0,17,8.0
2014,11,12.0,17,8.0
2014,12,14.0,17,9.0
2014,13,16.0,17,
2014,14,16.0,17,
2014,15,15.0,17,4.0
2014,16,15.0,17,4.0
2015,0,13.0,17,7.0
2015,1,13.0,17,7.0
2015,2,13.0,17,7.0
2015,3,13.0,17,7.0
2015,4,13.0,17,7.0
2015,5,12.0,17,7.0
2015,6,11.0,17,7.0
2015,7,10.0,17,5.0
2015,8,10.0,17,5.0
2015,9,10.0,17,5.0
2015,10,10.0,17,5.0
2015,11,11.0,17,5.0
2015,12,11.0,17,5.0
2015,13,9.0,17,4.0
2015,14,9.0,17,4.0
2015,15,10.0,17,4.0
2015,16,11.0,17,5.0
2016,0,14.0,17,5.0
2016,1,14.0,17,5.0
2016,2,14.0,17,5.0
2016,3,14.0,17,5.0
2016,4,14.0,17,5.0
2016,5,14.0,17,5.0
2016,6,14.0,17,5.0
2016,7,14.0,17,5.0
2016,8,14.0,17,5.0
2016,9,14.0,17,5.0
2016,10,14.0,17,5.0
2016,11,13.0,17,5.0
2016,12,14.0,17,15.0
2016,13,15.0,17,16.0
2016,14,14.0,17,5.0
2016,15,14.0,17,5.0
2016,16,14.0,17,5.0
2017,0,15.0,17,17.0
2017,1,15.0,17,17.0
2017,2,15.0,17,17.0
2017,3,15.0,17,17.0
2017,4,14.0,17,5.0
2017,5,14.0,17,14.0
2017,6,15.0,17,17.0
2017,7,15.0,17,17.0
2017,8,15.0,17,17.0
2017,9,15.0,17,17.0
2017,10,15.0,17,17.0
2017,11,15.0,17,17.0
2017,12,14.0,17,14.0
2017,13,14.0,17,14.0
2017,14,15.0,17,17.0
2017,15,15.0,17,17.0
2017,16,14.0,17,9.0
